#HANDLE# O
görüşürüz O
:) O

#HANDLE# O
tabıkı O
bende O
en O
azından O
ben O
ole O
dusunuyorum O
az O
kendımı O
begenırımde O
:) O

26 O
yasinda O
her O
an O
nikah O
kiyilcak O
gibi O
hiisetmekten O
biktim O
artik O
:d O
salsana O
be O
olum O
hayat O
bana O
guzeeeel O

Far O
East O
Movement-Live O
My O
Life O
tamam O
baba O
on O
numarada O
bu O
düet O
neden O
Castın B-PERSON
Biberle E-PERSON
anlamıyorum O
ya O
sıçmış O
içine O
şarkının!! O

#HANDLE# O
Ahahahaa O
işte O
budur! O
Bebeğiimsin O
.L O
görürsem O
söylerim O
hayatım O
yavaşşşş O
sen O
:D O
ben O
nedersem O
o O
yoksa O
sonucu O
biliyoruz O
yavrum O
;D O

#HANDLE# O
Suan O
birdemet O
tiyatroyu O
izliyorum O
ve O
hala O
ayni O
keyifle O
:) O

Oha O
bugun O
2:30 O
saat O
araliksiz O
kimyea O
calistiiim O
:D O

#HANDLE# O
Tamam O
:D O

RT O
#HANDLE# O
GÜNAYDIN, O
en O
kocamanından O
:) O

Trabzon S-ORGANIZATION
yeniliyomus O
uzuldum O
:( O

bu O
ders O
çalışma O
aşkı O
allahımm O
:D O

#HANDLE# O
Tanımadıklarıma O
yer O
vermiyorum O
artık O
:) O

- O
Mecnun S-PERSON
sevmiş, O
Leylayı S-PERSON
almış. O
Kerem S-PERSON
sevmiş, O
Aslıyı S-PERSON
almış. O
Ferhat S-PERSON
sevmiş, O
Şirini S-PERSON
almış. O
Biz O
sevdik; O
havamızı O
aldık O
ne O
iş O
:D O

en O
sevdiğim O
sendin O
chrome O
:( O
ama O
kullanamıyorum O
çok O
gerildim O

#HANDLE# O
Yeahh,every O
one O
of O
students O
loves O
PE O
:D O
<3 O

Hosgeldi O
kucuk O
melek)))) O
kucagina O
ilk O
aldiginda O
benim O
yerime O
de O
opp O
:D O
#HANDLE# O

RT O
#HANDLE# O
#HANDLE# O
off O
manyak O
misin! O
:D O
suan O
ben O
neyin O
derdindeyim O
sen O
nediyosun O
ac O
internete O
nedenine O
bak O

#HANDLE# O
doganla O
konya O
yolundan O
gel O
:D O

#HANDLE# O
metro O
mu O
kanka O
nere O
ya O
ora O
:) O

RT O
#HANDLE# O
Anlamıyorum O
niye O
yaptıklarımla O
bu O
kadar O
ilgileniyorsun? O
Hesabını O
sen O
mi O
vereceksin O
:) O

#HANDLE# O
Aynen O
:) O
sikilmaya O
basliyorum O
aticam O
birazdan O
defteri O
camdan O
zaten O
:) O

#HANDLE# O
yok O
be O
iyidiir O
:D O

Ferman O
kayserideyim S-LOCATION
maNtı O
istermisin O
gelsene O
noluuur O
:D O
#muzikicinefes O

#HANDLE# O
Aşırı O
stresten O
olabiliyor O
:D O
:D O

#HANDLE# O
ohaa O
kanka O
barıştınız O
mı? O
:) O

#HANDLE# O
sadece O
komikk O
:) O

#HANDLE# O
oley O
:) O

Fener S-ORGANIZATION
Zaten O
Türkiye S-LOCATION
Kupasında O
Etkisiz O
Eleman O
; O

Ne O
Kafa O
Yoruyosununuz O
Kupa O
Bizim O
:D O
<6 O

O O
değilde O
devam O
etse O
? O
:( O
#muzikicinefes O

clinton S-PERSON
think O
I'm O
demeanor O
and O
conduct O
:) O

#takipedenitakipederim O
#followback O
:) O

kediciğim O
hamile O
ve O
cornflakes O
yiyo O
uuuuuuu O
lokumum O
benim O
:) O

#HANDLE# O
aglicam O
kıskanmadım O
:( O

Çarşamba'yı O
sel O
alsın O
bize'de O
tatil O
olsun O
:) O

Aslı O
fazla O
ugrasmaaaa O
:) O
:) O

#HANDLE# O
oohooo O
ohhoooo O
:) O

#HANDLE# O
Anladıgım O
konulara O
calıstırırım O
:D O
yalnız O
hocanın O
yazdırdıklarını O
ezberlemek O
gerekıyo O
ne O
nerelerde O
kullanıyo O
falan O
dıye O

Happy O
Birthday O
Twitterrrrrrrr S-ORGANIZATION
:) O

bitmeyen O
hastalık O
ve O
ses O
kısıklığı O
yoksa O
yeni O
yaşantım O
mı? O

#HANDLE# O
tabi O
kanka O
yarinda O
bendensin O
:D O

lincoln S-PERSON
think O
I'm O
egocentric O
:) O

aækì S-PERSON
yasamis O
biri O
araniyor O
:( O

Eve O
gidince O
#HANDLE# O
ya O
meydan O
okuyacağım O
:) O

#HANDLE# O
sokarım O
affetmem O
:D O

#HANDLE# O
ayır O
bana O
bi O
tane O
15 B-MONEY
tl E-MONEY
verırım O
ama O
askım O
:D O

#HANDLE# O
hasfasonu O
lanet O
olsun O
16 O
handikap O
vardı O
15'te O
bıraktı O
üstelik O
25 O
sayı O
fark O
atmışken O
:) O

#HANDLE# O
Nasıl O
şimdi O
iyimisin O
biraz O
daha O
:) O
Bir O
nazar O
boncuğu O
takalım O
sana O
:) O

#HANDLE# O
bursaya S-LOCATION
bi O
dahaki O
gelişinde O
haber O
ver O
ben O
karşılarım O
seni O
:D O

#HANDLE# O
abi O
dur O
ilk O
gunden O
olay O
cikarmayalim O
diyicemde O
cikicak O
yani O
kesin O
:D O

#HANDLE# O
tamam O
reis O
:D O
kaldırdınmı O
engeli O
:D O

#HANDLE# O
vay O
anasini O
lan O
dersteyim O
ariyip O
2 O
saat O
erteletsemmi O
diyorum O
ama O
neyse O
diger O
insanlara O
ayipolur O
kanka O
:D O

#HANDLE# O
olmadı O
işte O
:) O
ama O
yoklama O
alındı O

o O
deilde O
mesaj O
atmadı O
dersin, O
tam O
o O
an O
msj O
gelir O
heyecanla O
telefona O
koşarsın O
bakarsın O
ki O
avea S-ORGANIZATION
:/ O
bundan O
dha O
büyük O
hayal O
krıklıgı O
olamaz O

RT O
#HANDLE# O
Twitter S-ORGANIZATION
6 O
yaşında! O
İşte O
atılan O
ilk O
twit O
:) O
#URL# O

#HANDLE# O
bilmm O
bizim O
burdaki O
andolu O
liselerinn O
hepsinde O
2. O
yabncı O
dl O
var O
ne O
yazıkki O
:) O

#HANDLE# O
cumartesi S-DATE
ihtiyacimiz O
olucak O
onlara O
:D O

#HANDLE# O
bilmiyorum O
conım O
xd O
OneDirectiooooooooooooooooooooooooonnn O
<3 O
:( O

Yarin O
geometri O
sinavim O
var, O
defterim O
bana O
bakiyor O
ben O
defterime O
bakiyorum O
anlamaya O
calistikca O
beynim O
error O
veriyor. O
Acikcasi O
ANLAYAMIYOM O
:( O

#HANDLE# O
ac O
izle O
bide O
yerime O
Deniz S-PERSON
gıdısından O
op O
nolur O
:) O

#HANDLE# O
kırmızı O
bisiklet O
isterimm O
:) O

Trafik O
işkencesine O
bir O
de O
tramwayda O
ağlayan O
çocuk O
sesi. O
Aman O
allah'im O
verme O
bu O
derdi O
bana O
:( O

Birazda O
biz O
gezelimm O
:) O

dorsey B-PERSON
stair E-PERSON
think O
I'm O
anticipation O
:) O

#HANDLE# O
#HANDLE# O
baban O
abazaaa O
:D O

#HANDLE# O
Allah O
allah O
:) O

aşktan O
öleeeen O
varsa O
söyleeee O
:D O

RT O
#HANDLE# O
Feeling O
sicky O
:( O

#katilBDP O
kurtuluş O
savaşında O
cepheye O
mermi O
taşıyan O
annemiz O
yine O
iş O
başında O
:) O

ya O
maç O
kötü O
bitti O

#HANDLE# O
Yarın O
matematik O
sınavı O
var O
:( O

sid S-PERSON
think O
I'm O
picturesque O
and O
illustrative O
:) O

yarım O
şişe O
YSL O
'min O
çantama O
dökülmesi... O
:( O
offf O
telefon O
bile O
Esen S-PERSON
kokuyo O
:) O

* O
Hayy O
kalbine O
kalbi'mi O
sokim O
ben O
senin O
! O
:D O

#HANDLE# O
sallama O
hemen O
Beşiktaşlı S-ORGANIZATION
adam O
:D O

#HANDLE# O
#HANDLE# O
Artık O
benim O
için O
de O
5 O
harfli O
dönemi O
bitti. O
Sizin O
gibi O
4 O
harfli O
dönemine O
geçtim. O
Ancak O
gizli O
saklı O
olsun O
istiyorum O
:) O

Bu O
kadar O
küçük O
şeylerden O
mutlu O
olabiliosun O
o O
zaman O
:) O

olmadı O
bı O
sıgara O
yakar O
mutluluklar O
dılerız O
:) O

hahahah O
adidasa S-ORGANIZATION
karşı O
adidas S-ORGANIZATION
formamı O
aldı O
ama O
canı O
saolsun O
paşamın O
:D O

Fırat S-PERSON
ve O
arkadaşları, O
Pepe'ye O
karşı O
:) O
#URL# O

#HANDLE# O
o O
hesabını O
da O
takip O
ediyim O
:D O

BJK S-ORGANIZATION
eski O
yöneticisi O
Levent B-PERSON
Erdoğan E-PERSON
" O
F.Bahçe S-ORGANIZATION
ve O
Galatasaray S-ORGANIZATION
berabere O
kalması O
en O
çok O
Beşiktaş S-ORGANIZATION
işine O
yarayacak":))><ÇG! O
2 O
S O
! O
D.s.>>>cem O

#HANDLE# O
sert O
oldu O
:D O
ama O
iyi O
oldu:D O

#HANDLE# O
Koc O
sakın O
beni O
bu O
sürecte O
yanlz O
bırakma O
:D O

Şarkıcı O
Zara S-PERSON
Radikal O
yazarı O
ve O
Kanal B-ORGANIZATION
24 E-ORGANIZATION
Yayın O
Yönetmeni O
Akif B-PERSON
Beki E-PERSON
ile O
evlendi. O

#HANDLE# O
eheheh O
:D O

"Gençler O
yengeniz O
izin O
vermiyor, O
gelemicem." O
diyen O
bir O
erkek O
düşünsenize O
:) O

Happy O
Birthday O
Twitter S-ORGANIZATION
!!!!!!!!!!!!! O
:D O

sanırım O
rıfatın S-PERSON
17 O
acısı O
dinecek O
:D O

#HANDLE# O
ok O
canım O
:D O

perşembe S-DATE
:) O

selam O
arkadasLar O
:D O

#HANDLE# O
Ben O
yazmadim O
berke S-PERSON
mami O
yazmis O
galiba O
:) O

keşke O
böyle O
bir O
hayatım O
olmasa O
:( O

#HANDLE# O
canım O
arkadaşım O
doğum O
günün O
kutlu, O
mutlu O
olsun!,hepbirarada O
sağlıklı O
,mutlu O
nice O
nice O
senelere O
inşallah O
:) O

Hayat O
seni O
güldürmüyorsaa O
daha O
benimle O
tanışmamışsın O
demektir O
:D O

#HANDLE# O
aşkım O
hastaneye O
götürdüler O
çok O
kötüydüm O
biliyomusun O
:( O

alta O
pilav O
üstüne O
kuru O
fasulye O
onun O
üstüne O
ketçap O
mayonez O
ve O
maydanoz O
koyup O
yiyen O
arkadaşm O
var O
:) O
ahaha O
bende O
denedim O
fena O
değil O

#HANDLE# O
hayret O
ilk O
defa O
zayn B-PERSON
malik E-PERSON
veya O
justin B-PERSON
bieber E-PERSON
paylaşmayan O
kız O
görüyorum O
:D O

#HANDLE# O
55 O
:) O

#HANDLE# O
ahh O
keske O
:) O
okul O
için O
ön O
hazırlık O
almaya O

#HANDLE# O
konusmuyoruz. O
aynı O
ortamda O
bulunduk O
ama O
o O
salak O
tanımadı O
beni O
bende O
sormadım O
o O
musun O
falan O
diye O
:D O
vay O
be O
ne O
hafıza O
varmıs O
:D O

#HANDLE# O
iii O
:D O
foton O
güzelmiş O

#HANDLE# O
aaay O
yarın O
sana O
anlatacaklarım O
var O
bır O
daha O
asık O
oldum O
:D O

don't O
go O
home O
riste O
:( O

#Zayn'sintheUK O
me O
too O
:) O

#HANDLE# O
sen O
tarihe O
gecicek O
kızsın O
:D O

Herkese O
iyi O
akşamlar.. O
merhabalar.. O
evdeyim.. O
:) O

Ödev: O
44+XYY O
:) O

#HANDLE# O
hayattanda O
futboldanda O
soğutuyor O
valla O
:D O

Şuanda O
çook O
mutluyuuum O
:D O

vee O
yattım O
:D O

chrystal B-PERSON
roginson E-PERSON
think O
I'm O
glum O
and O
grim O
:) O

#HANDLE# O
zamanı O
gelsin O
konuşuruz O
:) O

#HANDLE# O
deniz S-PERSON
ve O
mehtap S-PERSON
selamlarımı O
söyle O
canım. O
tramvayın O
jeneratörü O
varmış O
de O
dilaraya S-PERSON
da. O
ben O
ona O
birini O
yollayım O
:) O

#HANDLE# O
tamam O
canım O
:) O
teşekkür O
ettim O

Tarkanin S-PERSON
işim O
olmaz O
şarkısını O
birgün O
biri O
bana O
söyler O
mi O
acaba.inanılmaz O
mutlu O
olurum O
heralde O

Kaldırım O
otu O
gibi O
büyüdün O
kalbimin O
çatlaklarında O
, O
hani O
o O
umarsızca O
basıp O
geçtiğin O
:) O

#HANDLE# O
Yüksek O
İhtimal.Üzülme O
Ben O
Hala O
Takip O
Ediyorum O
:D O

#HANDLE# O
ıbrahim B-PERSON
tatlıses E-PERSON
i O
cokmu O
dinledin O
:) O

#HANDLE# O
Hadi O
hayırlısı O
:) O

babamla O
spor O
yapacaz O
şimdi O
:D O
adam O
o O
yaşıyla O
bana O
meydan O
okuyor O
ya O

RT O
#HANDLE# O
Bazen O
kelimelerle O
anlatamadıklarımızı O
3 O
dakikalık O
şarkılarla O
anlatıyoruz. O

#HANDLE# O
hayırlı O
olsun O
kanka O
ama O
ben O
onunla O
kavgalıyım O
bırazcıık O
:D O

#HANDLE# O
senin O
kadar O
zayif O
olsam O
ve O
senin O
metabolizmanin O
3te1'ine O
sahip O
olsam O
olumum O
yemekten O
olurdu O
abartmiyrm O
:D O
ye O
yiyebildigin O
kadr:) O

RT O
#HANDLE# O
#HANDLE# O
"yildizlara O
baktirdim O
fallarda O
cikmiyorsun, O
seni O
gormem O
imkansiz O
ruyalarim O
olmasa" O
ah O
sis O
ahh O
:) O

#HANDLE# O
Ah O
pardon O
özür O
dileriiim. O
Yarın O
çok O
güzeel O
olcaaak O
:D O

#HANDLE# O
hiç O
sormaaa O
derya S-PERSON
ne O
abi O
ya O
öyle O
erkek O
ismimi O
olur O
:D O

#HANDLE# O
ama O
babama O
nasıl O
soylıcem O
1 O
aldım O
ya O
10 O
desem O
ıyı O
olur O
:( O

sen O
kalk O
onca O
şey O
yaz O
onca O
şarkı O
dinle O
onu O
düşünüp O
sor O
bakalım O
o O
kimleri O
düşünüyor? O

#HANDLE# O
yok O
tam O
tersi O
bence O
söyle O
bi O
tweetlere O
göz O
attım O
olayı O
ben O
corpa O
etmişim O
:D O

#HANDLE# O
:) O

#HANDLE# O
:D O
aldım O
canım O
zaten O
sıkkın O
.s O

bitter O
çikolata O
sevmeyen O
insanlar O
çok O
iticiiii O
:D O

#HANDLE# O
haa O
bende O
noluyo O
lan O
dedim O
:D O

#HANDLE# O
#HANDLE# O
ssss O
ben O
34 O
bedenim O
ne O
issiniz O
olum O
ssizzz O
:D O

#HANDLE# O
bende O
seviyorum O
da O
böyle O
bi O
havalaniyo O
ben O
ejderhanin O
kaniyim O
falan O
daha O
kral O
topraklarına O
gelmedi O
yaa O
:) O

#HANDLE# O
gözler O
:D O

#HANDLE# O
baska O
kimi O
atti O
:) O

#HANDLE# O
tabi O
tabi O
göstermem O
mi O
hemen O
:D O

Kolamı O
kahvemi O
aldım O
sabaha O
kadar O
tarih O
çalışıp O
tarih O
yazıcaam O
:D O

#HANDLE# O
hahaha O
tabii O
kızım O
bende O
bugun O
yavastan O
başlıcam O
fizik O
ve O
kimyaya O
çalışmaya O
:( O

Ortada O
bir O
cok O
gercek O
var, O
hepsi O
de O
belgeli O
kacamaklar O
:) O

#HANDLE# O
off O
kanka O
nerde O
zor O
var O
sen O
ordasın O
ama O
olmazkii O
böyle O
:D O

RT O
#HANDLE# O
Bazen O
kelimelerle O
anlatamadıklarımızı O
3 O
dakikalık O
şarkılarla O
anlatıyoruz. O

#HANDLE# O
i O
know O
man O
we O
all O
excited O
:) O
ı O
love O
u O
#HANDLE# O

ajdar S-PERSON
şarkısına O
ne O
demeli O
:D O

Bülent B-PERSON
Ersoy E-PERSON
8 O
yaşındaki O
çocukları O
çok O
seviyorum. O

Cedrıc: O
Kuran O
çarpsın O
9 O
yaşına O
girdim. O
:D O

Bugün O
günlerden O
samsunspor S-ORGANIZATION
:D O

#HANDLE# O
yok O
sen O
başta O
söylemişsin O
ben O
yanlış O
okumuşum O
:D O

Ya O
of O
ya O
bu O
hava O
da O
niye O
hasta O
oldum O
:( O
birde O
8 O
igne O
verdi O
doktor O

dennis S-PERSON
think O
I'm O
brilliant O
:) O

Ay O
cok O
mutlu O
oldum O
mesaj O
attııııı O
:D O

#HANDLE# O
Canımsın O
:D O

7 B-DATE
Nisan E-DATE
Ankara S-LOCATION
gerçekleşecek O
Ferhat B-PERSON
Göçer E-PERSON
konserine O
davetiye O
kazanma O
şansı O
da O
Atlantis B-ORGANIZATION
FM E-ORGANIZATION
Takipte O
kalın, O
siz O
kazanabilirsiniz O
:) O

#HANDLE# O
Tatlım O
hattım O
bloke O
oldu O
özelden O
numaranı O
ver O
ben O
ulaşırım O
sana O
bir O
şey O
çıkmazsa O
eğer O
buluşabiliriz O
cumartesi O
:) O

yazın O
geldiğini O
gösteren O
ilk O
dondurma O
bugün O
mideye O
düştü O
:D O

#HANDLE# O
çok O
özledim O
lan O
öyle O
boyle O
değil O
bide O
sms O
yok O
ya O
:( O

Gs S-ORGANIZATION
yazmış O
2 O
elmander O
1 O
melo O

şampiyonluğa O
hello.. O
Biz O
de O

diyoruz O
ki O
; O

- O
Şampiyon O
olmadan O
çıkarma O
ses, O

Play O
off'ta O
s*ker O
ananızı O
KRALEXX O

rupert S-PERSON
think O
I'm O
invective O
and O
innuendo O
:) O

alvaro S-PERSON
think O
I'm O
465. O
Triggered O
:) O

#fenerinmacivar O
#bizimicinsaldirkanaya O
:) O

#HANDLE# O
oha O
onla O
binsem O
hayatta O
unutamam O
:D O
ya O
çok O
kıskandım O
sizi O
bak O
şimdi O

Hey O
sen! O
Bak O
bana, O
sonra O
sarıl O
iyice O
sarıl O
ama. O
Sonra O
gözlerime O
bak O
seni O
seviyorum O
de! O
Sonrada O
siktir O
ol O
git O
dimi O
yahu O
:) O
Hepsi O
aynı O
hepsi. O

#HANDLE# O
neyı O
YAR'AK O
aga? O
:) O
benımde O
kendıme O
gelmem O
lazım, O
ıse O
yarıyp O
mu? O
:) O

RT O
#HANDLE# O
Aynı O
şarkıyı, O
aynı O
duygularla, O
farklı O
insanlara O
adadığımız O
olurdu O
bazen. O
Sahi... O
Ben O
seni O
andığım O
şarkılarda O
sen O
kiminl O
... O

Kimileri O
melodisi O
hoşgelen O
yabancı O
şarkı O
gibidir.Anlamaya O
çalışmadığın O
sürece, O
dinlemek O
keyif O
verebilir O
:) O

sanırım O
son O
tweetimi O
daha O
önce O
3-5 O
defa O
daha O
tweetlemiştim O
ama O
güzel O
şarkı O
candan B-PERSON
erçetin E-PERSON
:) O

#HANDLE# O
olum O
kopmasın O
diye O
otobüsün O
pesinden O
koştun O
lan O
:) O

#HANDLE# O
:) O
dene O
bak O
faydasini O
goruceksin O
:D O

birini O
gerçekten O
sevdin O
mi O
yaşı,boyu,kilosu O
sadece O
birer O
sayıdır O
:) O

RT O
#HANDLE# O
BAŞAK S-PERSON
Seni O
hiçbir O
zaman O
affetmeyeceğim", O
içerisinde O
"Seni O
hiçbir O
zaman O
unutmayacağım"ı O
da O
barındırır... O
Unutmayacaksı O
... O

Pentagramın S-ORGANIZATION
yeni O
albümü O
nisan B-DATE
ayında E-DATE
çıkıyo.. O
Bundan O
güzel O
haber O
olamazz O
:) O

#HANDLE# O
o O
ozanın O
proplemi O
bizi O
bağlamaz O
:D O

#HANDLE# O
seviliyosun O
uzatma O
bnce O
:D O

#HANDLE# O
siktir O
ibne O
kendin O
ol O
iki O
dk O
:D O

Ilk O
defa O
cocukca O
bisey O
gozume O
cok O
tatli O
geldi O
:) O

#HANDLE# O
tabutu O
kırıp O
hattari O
hanzo O
kılıcıyla O
cıkıcak O
kuzey O
kill O
bill O
gibi O
:) O

#HANDLE# O
tabi O
ya O
:D O

Otobüste O
yanıma O
şişko O
yaşlı O
teyze O
oturur O
mu O
diye O
dinleyemediğim O
şarkılar O
var. O

uzuuuun O
uzuuunn O
bir O
süre O
daha O
bu O
şarkıyı O
dınlıcem O
galıba O
:( O

Canım O
tahinli O
cheesecake O
istiyoooorrr.. O
istanbulda S-LOCATION
olsam O
mihrimah B-ORGANIZATION
sultana E-ORGANIZATION
giderdim. O
Benim O
ist S-LOCATION
vaktim O
geldi O
galiba. O

#HANDLE# O
pişmanmı O
oldun O
yoksa O
ajdar S-PERSON
dinlediğine O
:D O

#HANDLE# O
Boşver O
kenka O
ikiyüzlü, O
egoist O
birinin O
son O
çırpınışları O
:) O

Kimbilir, O
belki O
birgün O
aynı O
evin O
elektrik O
faturasına, O
"Yuhh O
be, O
bu O
ne" O
deriz O
? O
:) O

#HANDLE# O
baglarim O
ben O
:D O
stres O
heyecan O
korku O
hersey O
var O
ya O

#HANDLE# O
bu O
resim O
ablamın O
eserii O
. O
:D O

#HANDLE# O
lan O
ben O
bunu O
yeni O
gördüm O
:D O
nasıl O
konuşuyon O
sen O
öyle O
:D O

belediyede O
hava O
güzel O
:) O

#HANDLE# O
güvercin O
yavrularını O
bilir O
misin? O
hah O
işte O
tam O
öyle O
:( O

aslında O
tüm O
agresif O
tavırlarım O
dün O
kareli O
gömlekli O
beyaz O
yakanın O
numaramı O
alıp O
hala O
aramamasından O
ötürü O
:( O

#HANDLE# O
lan O
benimde O
janım O
enrik O
çenkti O
:( O

7.5 O
tur O
biter O
ve O
ben O
ewe O
:D O

#HANDLE# O
ay O
sakın O
unutma O
yarın O
haber O
vermeyipte O
gitmezsem O
olacakları O
sen O
düsün O
:D O

#HANDLE# O
aynen O
askım O
:D O

#HANDLE# O
hee O
iyi O
iyi O
:D O
bensiz O
oynamayın O
öperim O
sizi O
:D O

#YavsakLigTVsahtekarHasanSas O
adam O
şaşmış O
amk O
:D O

#HANDLE# O
rüyalarını O
dikkate O
alma O
:) O

#HANDLE# O
tweet O
hırsızııııııııı O
:( O

#HANDLE# O
aynen O
öyle O
:D O

Keremii S-PERSON
kızdırmakk O
kadar O
güzel O
bisii O
var O
mıı O
yaa O
:D O

#HANDLE# O
ne O
zaman O
geliym O
? O
:) O

yorucu O
bi O
gün O
dahaa O
:( O

#HANDLE# O
Marilyn B-PERSON
Monroe E-PERSON
ile O
ilgili O
bir O
film O
vardı O
pc'de O
ama O
inş O
budur O
:) O
Mutlu O
eder O
beni O
yani O
:P O

#HANDLE# O
İsteklerinizi O
#HANDLE# O
adresine O
bildirirseniz O
daha O
iyi O
olur. O
Bız O
cekim O
ekibiyiz O
kameramanlar O
olarak O
:) O

#HANDLE# O
#HANDLE# O
LE O
icradan O
ziyade O
iflas O
avukatidir O
Allah O
muhtac O
etmesin O
:) O

RT O
#HANDLE# O
#HANDLE# O
ıste O
bu O
yazın O
hıt O
parcası O
:D O

kadıköy S-LOCATION
daha O
cazip O
:) O

#HANDLE# O
kanka O
adımı O
caramio O
yaptım O
haha O
:D O

pasam O
hasta O
diye O
icim O
buruk O
ama O
aslinda O
sevincim O
de O
buyuk O
:) O

Bunalımdayım O
Aslinda O
Halil B-PERSON
Sezai E-PERSON
nin O
"İsyan" O
parcasını O
dinlerdim,ama O
günah O
oldugundan,"Ali O
babanin O
çifliğini O
dinliyorum.çok O
dertliyim O
çok O
:) O

#HANDLE# O
face S-ORGANIZATION
profilfotoma O
bak O
istersen? O
:D O
vucudumu O
ben O
goremiyorum O
orda O
- O
ya O
sen? O
:))) O

Kiminle O
birlikte O
yaşıyak O
:D O

#HANDLE# O
onur S-PERSON
almıştı O
o O
okudu O
sonra O
ben O
:) O
hala O
bende O
verebilirim O

Bence O
kaldaki O
öğretmenler O
hain O
hain O
sınav O
soruları O
düşünüyolardır O
:( O

RT O
#HANDLE# O
Aynı O
şarkıyı, O
aynı O
duygularla, O
farklı O
insanlara O
adadığımız O
olurdu O
bazen. O
Sahi... O
Ben O
seni O
andığım O
şarkılarda O
sen O
kiminl O
... O

bazı O
insanlar O
onlarla O
alay O
ettiğimi O
anlayınca O
uf O
etmişler O
o O
da O
birşey O
mi O
ben O
seni O
fifi O
ettim O
gerzek O
yalaka O
:) O
seni O
tiye O
almamak O
zevkti O
:) O

#HANDLE# O
hayırdır O
gardaş O
bi O
durummu O
var O
? O
:) O

cek O
git O
bebegim O
uzaklara O
dinliyoruz O
denizle S-PERSON
:D O

#HANDLE# O
üzerinde O
ne O
yazdığını O
okuyamıyorum O
söyler O
misin O
bana O
? O
:) O

#HANDLE# O
olum O
o O
nuri B-PERSON
alco E-PERSON
degil O
bildigin O
sarki O
amk O
:) O

Sonunda O
stadın O
ıcındeyım O
:) O
eheh O
:) O

#HANDLE# O
icinde O
ki O
seytana O
duur O
de O
:D O

#HANDLE# O
sizin O
okula S-LOCATION
gelıyom O
kankııı O
:D O

Twitter S-ORGANIZATION
a O
geçtin O
demek O
, O
face S-ORGANIZATION
sıkıyor O
evet O
:D O
#HANDLE# O

jerold B-PERSON
dongo E-PERSON
think O
I'm O
lucidity O
and O
vividness O
:) O

starbuck S-ORGANIZATION
içemeyen O
mağdurlarız O
biz O
:( O

eugena B-PERSON
luque E-PERSON
think O
I'm O
difficult O
:) O

#HANDLE# O
yavrum O
sen O
alma O
kilo O
yaaa O
:D O

Aşık O
olmak O
radyoda O
sevdiğin O
şarkının O
birden O
bire O
çıkması O
gibidir O
,Kontrol O
senin O
elinde O
olmadığı O
için O
güzeldir.mutluluk O
verir O

#HANDLE# O
oflama O
bana O
:) O

#HANDLE# O
ha O
bu O
arada O
birisi O
seni O
arayıp O
sapıklık O
yaparsa O
benimdir O
sdfghbn O
:D O
korma O
yanii O

RT O
#HANDLE# O
#HANDLE# O
ne O
iskence O
cektik O
o O
sırada O
meldayla O
haberin O
var O
mı O
seniin O
ama O
gulmekten O
karnım O
agrıdı O
ahaha O
:D O

İşte O
twitterı S-ORGANIZATION
sevmemin O
nedenlerinden O
biride O
istediğimi O
yazabilmem O
yani O
facebook S-ORGANIZATION
böyle O
değildi O
twitter S-ORGANIZATION
bambaşka O
ya O
:D O

Varlıgımın O
degerini O
bilmeyene O
yokluğum O
kapak O
olsn... O

#HANDLE# O
hadi O
len O
ordan O
:D O

#HANDLE# O
follow O
me O
pls O
:) O

#HANDLE# O
Geçen O
gün O
'güldüm' O
diye O
unutma O
:D O

Iyıkı O
dogmussun O
canım O
kuzenım O
:) O

#HANDLE# O
kalandan O
getir O
abi O
:D O

geometri O
ve O
matematik O
dersini O
seviyorum O
cnkü O
hoca O
uyumama O
izin O
veriyor. O
Cünkü O
hoca O
müzik O
dinlediğimi O
fark O
etmiyor O
:D O

#HANDLE# O
1 O
yıllığına O
geldim O
ama O
Indiana S-LOCATION
mısır O
tarlalarının O
ortasındayım O
:) O

#HANDLE# O
Enrikeee S-PERSON
kalecinin O
dibisin O
enrikeee S-PERSON
:D O

#HANDLE# O
ne O
güzell O
:) O

#HANDLE# O
beze O
beze O
mantı O
açcam O
sana O
ve O
formda O
kalcazz O
inşallah O
tatlımm O
:) O

" O
3131 O
" O
hiçbir O
Türk O
bunu O
'' O
üçbinyüzotuzbir O
'' O
diye O
okuyamaz O
:D O

Kendimden O
Biliyorum O
:DD O

#HANDLE# O
yakındır O
galiba O
Betonarme O
Bayram O
:) O

#HANDLE# O
biz O
kardeşııız O
:D O

#HANDLE# O
ahahaha O
sagol O
kardesimmmmmm O
:D O

#HANDLE# O
knka O
netten O
indirince O
hata O
veriyor. O
ama O
sağol O
gerek O
kalmadı O
:)) O
facetn S-ORGANIZATION
de O
yazdm O
habern O
olsn O
=) O

#HANDLE# O
tamam O
ya O
yat O
uyu O
sen O
:D O

#HANDLE# O
Sensin O
evcil O
hayvan O
kopek! O
:D O

